time	pair	signal	confidence	entry_price	stop_loss	take_profit	reason
2026-01-18T21:45:00	USDJPY	WAIT	9.75	158.178	0.0	0.0	Market Closed - Weekend - Market Closed | Patterns: Higher Highs/Higher Lows (Bullish)
2026-01-18T21:45:00	GBPUSD	WAIT	9.75	1.33792	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T21:45:00	USDCAD	WAIT	15.23	1.3917	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T21:45:00	GBPJPY	WAIT	10.0	211.638	0.0	0.0	Market Closed - Weekend - Market Closed | Patterns: Higher Highs/Higher Lows (Bullish)
2026-01-18T21:45:00	XAUUSD	WAIT	29.75	4595.26	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T11:01:30.334453	XAGUSD	WAIT	0.0	0.0	0.0	0.0	Insufficient Data
2026-01-18T22:15:00	EURUSD	WAIT	36.06	1.16062	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:15:00	USDJPY	WAIT	9.92	158.181	0.0	0.0	Market Closed - Weekend - Market Closed | Patterns: Higher Highs/Higher Lows (Bullish)
2026-01-18T22:15:00	GBPUSD	WAIT	29.92	1.33794	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:15:00	USDCAD	WAIT	35.39	1.39171	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:15:00	GBPJPY	WAIT	10.0	211.635	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:15:00	XAUUSD	WAIT	29.92	4595.25	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T11:17:05.039884	XAGUSD	WAIT	0.0	0.0	0.0	0.0	Insufficient Data
2026-01-18T22:30:00	EURUSD	WAIT	16.06	1.1606	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:30:00	USDJPY	WAIT	9.92	158.178	0.0	0.0	Market Closed - Weekend - Market Closed | Patterns: Higher Highs/Higher Lows (Bullish)
2026-01-18T22:30:00	GBPUSD	WAIT	29.92	1.33796	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:30:00	USDCAD	WAIT	55.39	1.39174	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:30:00	GBPJPY	WAIT	30.0	211.632	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:30:00	XAUUSD	WAIT	30.08	4595.33	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T11:32:36.302033	XAGUSD	WAIT	0.0	0.0	0.0	0.0	Insufficient Data
2026-01-18T22:45:00	EURUSD	WAIT	36.26	1.16029	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:45:00	USDJPY	WAIT	29.71	158.267	0.0	0.0	Market Closed - Weekend - Market Closed | Patterns: Higher Highs/Higher Lows (Bullish)
2026-01-18T22:45:00	GBPUSD	WAIT	10.29	1.33806	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:45:00	USDCAD	WAIT	55.19	1.3919	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:45:00	GBPJPY	WAIT	10.0	211.771	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T22:45:00	XAUUSD	WAIT	29.71	4595.24	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T11:48:01.081322	XAGUSD	WAIT	0.0	0.0	0.0	0.0	Insufficient Data
2026-01-18T23:00:00	EURUSD	WAIT	15.63	1.16027	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:00:00	USDJPY	WAIT	30.35	158.265	0.0	0.0	Market Closed - Weekend - Market Closed | Patterns: Higher Highs/Higher Lows (Bullish)
2026-01-18T23:00:00	GBPUSD	WAIT	29.65	1.33805	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:00:00	USDCAD	WAIT	55.82	1.39193	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:00:00	GBPJPY	WAIT	10.0	211.768	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:00:00	XAUUSD	WAIT	10.35	4595.32	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T12:03:26.605096	XAGUSD	WAIT	0.0	0.0	0.0	0.0	Insufficient Data
2026-01-18T23:00:00	EURUSD	WAIT	15.76	1.1603	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:00:00	USDJPY	WAIT	30.21	158.269	0.0	0.0	Market Closed - Weekend - Market Closed | Patterns: Higher Highs/Higher Lows (Bullish)
2026-01-18T23:00:00	GBPUSD	WAIT	29.79	1.33809	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:00:00	USDCAD	WAIT	55.69	1.39193	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:00:00	GBPJPY	WAIT	10.0	211.768	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:00:00	XAUUSD	WAIT	9.79	4595.37	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T12:11:08.104264	XAGUSD	WAIT	0.0	0.0	0.0	0.0	Insufficient Data
2026-01-18T23:15:00	EURUSD	WAIT	15.68	1.1603	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:15:00	USDJPY	WAIT	30.29	158.269	0.0	0.0	Market Closed - Weekend - Market Closed | Patterns: Higher Highs/Higher Lows (Bullish)
2026-01-18T23:15:00	GBPUSD	WAIT	29.71	1.33809	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:15:00	USDCAD	WAIT	55.77	1.39193	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:15:00	GBPJPY	WAIT	30.0	211.768	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T23:15:00	XAUUSD	WAIT	29.71	4595.36	0.0	0.0	Market Closed - Weekend - Market Closed
2026-01-18T12:21:46.705877	XAGUSD	WAIT	0.0	0.0	0.0	0.0	Insufficient Data
